number;label;description;interesting
1;READER;NULL;0
2;BOOK_REFERENCE;NULL;0
3;DICTIONNARY;NULL;0
4;WIKI;NULL;0
5;TRADUCTION;NULL;0
11;COMICS;NULL;0
17;LANGUAGE_LEARNING;NULL;0
19;TV_GUIDE;NULL;0
20;FILM_RANKING;NULL;0
21;INTERACTIVE_ENTERTAINMENT;NULL;0
25;INSURANCE_TAXES;NULL;0
28;RECIPES;NULL;0
37;NEWS_AGREGATOR;NULL;0
44;NOTEPAD;NULL;0
45;TASKS_LIST;NULL;0
49;CALCULATOR_CONVERSION;NULL;0
50;ONLINE_SHOPPING;NULL;0
51;AUCTION;NULL;0
52;COUPON;NULL;0
53;PRICE_COMPARAISON;NULL;0
54;PRODUCT_REVIEW;NULL;0
62;RESERVATION;NULL;0
64;POINT_OF_INTEREST;NULL;0
73;LOCATE_POSITION_OLD;NULL;0
